target_id,abundance,abundance
PRQ56099,102.0,102.0
PRQ59817,1.0,1.0
PRQ59947,2.59985,2.59985
PRQ58757,7.0,7.0
PRQ58549,23.0,23.0
PRQ57017,5.0,5.0
PRQ59506,62.0,62.0
PRQ55835,2.08093,2.08093
PRQ59544,179.0,179.0
PRQ58037,19.0,19.0
PRQ54639,72.0,72.0
PRQ56331,203.0,203.0
PRQ58982,1.0,1.0
PRQ60202,16.0,16.0
PRQ56154,30.7181,30.7181
PRQ59679,3.0,3.0
PRQ60343,24.0,24.0
PRQ60492,11.0,11.0
PRQ59505,16.0,16.0
PRQ58064,18.0,18.0
PRQ57755,1.0,1.0
PRQ57089,183.0,183.0
PRQ54782,14.0,14.0
PRQ58816,9.0,9.0
PRQ59268,29.0,29.0
PRQ59878,1.0,1.0
PRQ55582,1.0,1.0
PRQ60336,7.0,7.0
PRQ56092,18.0,18.0
PRQ59207,9.0,9.0
PRQ57403,17.0,17.0
PRQ56179,3.0,3.0
PRQ58672,92.0,92.0
PRQ55030,1.0,1.0
PRQ58542,6.0,6.0
PRQ56975,4.0,4.0
PRQ58132,4.0,4.0
PRQ56533,4.0,4.0
PRQ54579,2.1406,2.1406
PRQ57640,5.0,5.0
PRQ60418,43.0,43.0
PRQ60328,1.0,1.0
PRQ58988,3.0,3.0
PRQ59453,59.0,59.0
PRQ57043,1.0,1.0
PRQ60339,4.0,4.0
PRQ58036,1.0,1.0
PRQ56288,13.0,13.0
PRQ60682,38.0,38.0
PRQ55254,9.0,9.0
PRQ56775,13.0,13.0
PRQ56082,1.0,1.0
PRQ60313,2.0,2.0
PRQ57551,1.0,1.0
PRQ57803,24.0,24.0
PRQ59783,3.0,3.0
PRQ59745,1.0,1.0
PRQ59965,6.0,6.0
PRQ57192,1.0,1.0
PRQ58601,29.0,29.0
PRQ58074,59.0,59.0
PRQ57516,17.258,17.258
PRQ59477,8.0,8.0
PRQ59240,76.0,76.0
PRQ54537,10.0,10.0
PRQ60471,30.0,30.0
PRQ55317,7.0,7.0
PRQ55158,2.0,2.0
PRQ58713,15.0,15.0
PRQ56030,18.0,18.0
PRQ54671,3.0,3.0
PRQ59562,5.0,5.0
PRQ55936,8.0,8.0
PRQ60596,51.0,51.0
PRQ55314,4.26487,4.26487
PRQ56363,1.9505,1.9505
PRQ55434,26.0,26.0
PRQ58801,6.0,6.0
PRQ55216,20.0,20.0
PRQ59328,3.0,3.0
PRQ57722,35.0,35.0
PRQ59591,19.0,19.0
PRQ60502,48.0,48.0
PRQ58259,2.0,2.0
PRQ59545,1.0,1.0
PRQ58516,1.0,1.0
PRQ57683,1.0,1.0
PRQ54982,13.0,13.0
PRQ60349,18.0,18.0
PRQ56037,1.0,1.0
PRQ55500,9.0,9.0
PRQ59445,13.638,13.638
PRQ58877,92.0,92.0
PRQ58471,1.0,1.0
PRQ57780,3.0,3.0
PRQ57492,1.27156,1.27156
PRQ59347,2.0,2.0
PRQ57753,13.3426,13.3426
PRQ57111,1.0,1.0
PRQ59907,6.0,6.0
PRQ54485,1.0,1.0
PRQ58781,3.0,3.0
PRQ54382,0.863841,0.863841
PRQ58387,4.0,4.0
PRQ57796,1.0,1.0
PRQ58555,3.0,3.0
PRQ55501,53.5794,53.5794
PRQ55630,2.34818,2.34818
PRQ55904,43.0,43.0
PRQ58909,6.0,6.0
PRQ57730,1.0,1.0
PRQ59037,33.0,33.0
PRQ55784,1.0,1.0
PRQ59977,24.0,24.0
PRQ55789,4.0,4.0
PRQ57420,10.0,10.0
PRQ55605,9.0,9.0
PRQ59868,13.0,13.0
PRQ60333,8.0,8.0
PRQ55232,1.0,1.0
PRQ55394,27.0,27.0
PRQ56556,1.0,1.0
PRQ58742,36.0,36.0
PRQ58406,245.0,245.0
PRQ59667,21.0,21.0
PRQ59876,10.0,10.0
PRQ60154,19.0,19.0
PRQ57351,14.0,14.0
PRQ59398,147.0,147.0
PRQ58731,1.0,1.0
PRQ57692,10.0,10.0
PRQ60197,25.0,25.0
PRQ57077,1.0,1.0
PRQ59734,1.0,1.0
PRQ55318,24.0,24.0
PRQ55408,11.0,11.0
PRQ57270,26.0,26.0
PRQ55686,5.0,5.0
PRQ54633,8.0,8.0
PRQ57693,92.0,92.0
PRQ59551,28.0,28.0
PRQ57189,1.0,1.0
PRQ56048,1.0,1.0
PRQ60285,34.0,34.0
PRQ57741,11.0,11.0
PRQ60739,3.0,3.0
PRQ59012,2.0,2.0
PRQ58981,1.0,1.0
PRQ54829,8.0,8.0
PRQ55163,1.0,1.0
PRQ60283,13.0,13.0
PRQ56004,1.0,1.0
PRQ56649,21.0,21.0
PRQ56107,3.0,3.0
PRQ58106,2.0,2.0
PRQ59369,74.0,74.0
PRQ56979,4.0,4.0
PRQ55310,5.7221,5.7221
PRQ60071,9.0,9.0
PRQ54725,2.87942,2.87942
PRQ54737,18.0,18.0
PRQ54455,2.0,2.0
PRQ60457,5.0,5.0
PRQ59485,30.0,30.0
PRQ57064,2.0,2.0
PRQ59884,13.0,13.0
PRQ54738,44.0,44.0
PRQ57023,62.0,62.0
PRQ59321,10.0,10.0
PRQ57814,1.0,1.0
PRQ59639,1.0,1.0
PRQ60049,37.2044,37.2044
PRQ59515,3.0,3.0
PRQ56982,2.0,2.0
PRQ57641,1.0,1.0
PRQ55535,28.0,28.0
PRQ57571,217.406,217.406
PRQ59274,6.0,6.0
PRQ60549,28.0,28.0
PRQ57902,79.0,79.0
PRQ55099,4.0,4.0
PRQ59126,1.0,1.0
PRQ56777,1.0,1.0
PRQ57350,4.0,4.0
PRQ59536,1.0,1.0
PRQ58950,7.0,7.0
PRQ57416,125.0,125.0
PRQ59828,3.0,3.0
PRQ60433,1.0,1.0
PRQ59089,11.0,11.0
PRQ55628,2.0,2.0
PRQ56129,49.0,49.0
PRQ59270,27.0,27.0
PRQ60515,1.12519,1.12519
PRQ55238,4.0,4.0
PRQ58084,43.0,43.0
PRQ59376,37.0,37.0
PRQ55813,25.0,25.0
PRQ55415,1.0,1.0
PRQ60614,16.0,16.0
PRQ60189,4.0,4.0
PRQ57716,5.0,5.0
PRQ57297,1.0,1.0
PRQ54687,395.0,395.0
PRQ57899,2.0,2.0
PRQ58719,2.0,2.0
PRQ60458,6.0,6.0
PRQ55025,10.8832,10.8832
PRQ60231,3.0,3.0
PRQ57263,17.0,17.0
PRQ58973,22.0,22.0
PRQ59152,6.0,6.0
PRQ59326,1.0,1.0
PRQ58700,1.0,1.0
PRQ55712,1.0,1.0
PRQ58633,1.0,1.0
PRQ56089,55.0,55.0
PRQ55860,4.0,4.0
PRQ58138,38.0,38.0
PRQ58760,12.0,12.0
PRQ55871,9.0,9.0
PRQ56925,8.0,8.0
PRQ59144,2.0,2.0
PRQ57133,11.0,11.0
PRQ56323,11.0,11.0
PRQ55460,6.0,6.0
PRQ58865,2.0,2.0
PRQ60280,4.0,4.0
PRQ60700,1.0,1.0
PRQ58537,7.0,7.0
PRQ56374,6.0,6.0
PRQ60144,5.0,5.0
PRQ59203,2.0,2.0
PRQ56284,7.0,7.0
PRQ59655,60.0,60.0
PRQ55530,1.0,1.0
PRQ57080,3.0,3.0
PRQ60406,3.0,3.0
PRQ60388,83.0,83.0
PRQ56196,22.0,22.0
PRQ60647,31.0,31.0
PRQ54722,6.0,6.0
PRQ55612,88.0,88.0
PRQ58869,4.0,4.0
PRQ56164,57.0,57.0
PRQ57108,7.53359,7.53359
PRQ59894,1.0,1.0
PRQ55184,3.0,3.0
PRQ59177,2.85818,2.85818
PRQ58265,23.0,23.0
PRQ60693,5.0288,5.0288
PRQ58501,4.0,4.0
PRQ54447,1.0,1.0
PRQ55619,4.0,4.0
PRQ59014,1.0,1.0
PRQ57044,4.0,4.0
PRQ56894,43.0,43.0
PRQ56185,22.0,22.0
PRQ56311,1.0,1.0
PRQ56320,42.0,42.0
PRQ56510,23.0,23.0
PRQ59691,1.0,1.0
PRQ56013,1.0,1.0
PRQ60533,4.0,4.0
PRQ56133,11.9057,11.9057
PRQ56841,2.0,2.0
PRQ56620,4.0,4.0
PRQ56628,1.0,1.0
PRQ57277,1.0,1.0
PRQ59652,27.0,27.0
PRQ57804,45.0,45.0
PRQ58505,22.0,22.0
PRQ57459,3.0,3.0
PRQ59050,9.0,9.0
PRQ58599,32.0,32.0
PRQ57538,7.0,7.0
PRQ60397,2.0,2.0
PRQ60626,2.0,2.0
PRQ58356,23.0,23.0
PRQ58210,44.0,44.0
PRQ55565,1.0,1.0
PRQ58544,3.0,3.0
PRQ60263,1.0,1.0
PRQ60132,21.0,21.0
PRQ59355,51.0,51.0
PRQ57325,3.0,3.0
PRQ59497,73.0,73.0
PRQ60578,6.0,6.0
PRQ56647,8.0,8.0
PRQ58190,3.0,3.0
PRQ60129,23.0,23.0
PRQ60098,3.0,3.0
PRQ59715,4.0,4.0
PRQ57889,2.0,2.0
PRQ54543,10.0,10.0
PRQ59995,2.0,2.0
PRQ58654,1.0,1.0
PRQ59707,27.0,27.0
PRQ56803,2.0,2.0
PRQ59865,5.0,5.0
PRQ54914,4.0,4.0
PRQ54404,8.0,8.0
PRQ56275,1.13208,1.13208
PRQ59766,2.0,2.0
PRQ58567,39.0,39.0
PRQ54878,4.0,4.0
PRQ60019,13.0,13.0
PRQ59644,12.0,12.0
PRQ54724,8.0,8.0
PRQ57397,18.0,18.0
PRQ58561,2.0,2.0
PRQ57162,3.0,3.0
PRQ59809,17.0,17.0
PRQ55816,1.0,1.0
PRQ58251,2.0,2.0
PRQ56644,177.0,177.0
PRQ54823,66.0,66.0
PRQ54886,7.0,7.0
PRQ60201,1.0,1.0
