target_id,abundance
BGIOSGA008021-TA,247.0
BGIOSGA009859-TA,12.0
BGIOSGA008519-TA,56.0
BGIOSGA026659-TA,1.0
BGIOSGA015242-TA,2.0
BGIOSGA001698-TA,14.0
BGIOSGA021040-TA,42.0
BGIOSGA011718-TA,132.0
BGIOSGA031088-TA,101.0
BGIOSGA008959-TA,10.0
BGIOSGA026933-TA,77.0
BGIOSGA037382-TA,338.0
BGIOSGA003320-TA,17.0
BGIOSGA011222-TA,32.0
BGIOSGA016659-TA,1.0
BGIOSGA013268-TA,69.0
BGIOSGA032833-TA,223.0
BGIOSGA011252-TA,25.0
BGIOSGA008081-TA,92.0
BGIOSGA028954-TA,168.0
BGIOSGA003188-TA,29.0
BGIOSGA025549-TA,87.0
BGIOSGA032169-TA,26.0
BGIOSGA010715-TA,137.0
BGIOSGA002138-TA,56.0
BGIOSGA027322-TA,3.0
BGIOSGA006706-TA,8.0
BGIOSGA007693-TA,19.0
BGIOSGA006834-TA,7.0
BGIOSGA012156-TA,322.0
BGIOSGA007888-TA,23.0
BGIOSGA023725-TA,14.0
BGIOSGA007462-TA,5.0
BGIOSGA008572-TA,90.0
BGIOSGA014908-TA,54.0
BGIOSGA017646-TA,138.0
BGIOSGA012297-TA,41.2651
BGIOSGA010832-TA,8.52556
BGIOSGA035853-TA,279.0
BGIOSGA007900-TA,8.0
BGIOSGA015161-TA,44.0
BGIOSGA037352-TA,149.0
BGIOSGA026772-TA,8.0
BGIOSGA004304-TA,46.0
BGIOSGA031404-TA,24.0
BGIOSGA022956-TA,1.0
BGIOSGA019250-TA,57.9528
BGIOSGA029612-TA,11.5975
BGIOSGA017804-TA,65.0
BGIOSGA010032-TA,35.0
BGIOSGA014258-TA,51.0
BGIOSGA012223-TA,5.0
BGIOSGA010382-TA,52.0
BGIOSGA001444-TA,36.0
BGIOSGA018405-TA,271.0
BGIOSGA019825-TA,3.0
BGIOSGA004129-TA,77.0
BGIOSGA006186-TA,4.0
BGIOSGA030424-TA,55.0
BGIOSGA026511-TA,7.0
BGIOSGA032037-TA,43.0
BGIOSGA025949-TA,73.0
BGIOSGA013800-TA,7.0
BGIOSGA009123-TA,1.0
BGIOSGA023675-TA,148.0
BGIOSGA017822-TA,10.0
BGIOSGA000702-TA,24.0
BGIOSGA014534-TA,332.0
BGIOSGA011297-TA,20.0
BGIOSGA010428-TA,56.0
